N	tiempo_mat	D1mr_mat	D1mw_mat	tiempo_mat	D1mr_mat_t	D1mw_mat_t
640	1.85430450000000000000 16942042	129309	1.71735300000000000000 33287867	205823
644	2.12487000000000000000 334900168	519355	1.79570550000000000000 33960746	208393
648	1.99227150000000000000 340964181	525817	1.79037600000000000000 34593833	210979
652	1.95945150000000000000 347523345	532318	1.86629000000000000000 35234749	213581
656	1.93108400000000000000 319814492	538860	1.84392150000000000000 35858073	216199
660	2.02793000000000000000 360459802	545441	1.87601600000000000000 36540224	218833
664	2.03185500000000000000 366827591	552063	1.91413650000000000000 37204879	221483
668	2.11329500000000000000 373713379	558724	1.95393950000000000000 37877555	224149
672	2.08876700000000000000 324472507	565426	1.99182450000000000000 38517291	226831
676	2.19139500000000000000 387287916	572167	2.01928150000000000000 39247126	229529
680	2.19608150000000000000 393966905	578949	2.05627700000000000000 39944117	232243
684	2.29176550000000000000 401187253	585770	2.09273250000000000000 40649321	234973
688	2.24432500000000000000 369244473	592632	2.13299650000000000000 41335010	237719
692	2.38177100000000000000 415415230	599533	2.16830150000000000000 42084524	240481
696	2.38491100000000000000 422412843	606475	2.20313800000000000000 42814619	243259
700	2.47843200000000000000 429975687	613456	2.24179150000000000000 43553119	246053
704	2.47807250000000000000 361192296	620478	2.28276050000000000000 44246760	248863
