N	D1mr_slow	D1mw_slow	D1mr_fast	D1mw_fast
2804	10729855	1656454	2986663	1656454
2820	10845660	1674995	3013862	1674995
2836	10962235	1693695	3041257	1693695
2852	11079265	1712448	3068663	1712448
2868	11196915	1731299	3096123	1731299
2884	11315481	1750351	3124052	1750351
2900	11434524	1769481	3151931	1769481
2916	11554101	1788683	3179827	1788683
2932	11720858	1807831	3254413	1807831
2948	11841998	1827257	3282859	1827257
2964	11963700	1846776	3311419	1846776
2980	12086115	1866417	3340101	1866417
2996	12209060	1886102	3368890	1886102
3012	12332639	1905931	3397763	1905931
3028	12456930	1925886	3426831	1925886
3044	12581686	1945864	3455888	1945864
3060	12742740	1965856	3520730	1965856
