N	D1mr_slow	D1mw_slow	D1mr_fast	D1mw_fast
2804	12534397	2298207	4910740	2298207
2820	12664219	2323852	4953370	2323852
2836	12795363	2349840	4996667	2349840
2852	12926497	2375738	5039546	2375738
2868	13058765	2401997	5082967	2401997
2884	13197121	2433804	5132045	2433804
2900	13437079	2477002	5284755	2477002
2916	13571938	2503809	5329322	2503809
2932	13753330	2530330	5420022	2530330
2948	13889757	2557315	5465161	2557315
2964	14026658	2584454	5510332	2584454
2980	14164432	2611805	5555782	2611805
2996	14349743	2638792	5648361	2638792
3012	14489168	2666470	5694527	2666470
3028	14629073	2694221	5740668	2694224
3044	14769627	2722010	5787031	2722010
3060	14946124	2749776	5868763	2749779
