N	D1mr_slow	D1mw_slow	D1mr_fast	D1mw_fast
11216	1176682556	74076157	1066111132	74076157
11280	1189949582	74886070	1078108294	74886070
11344	1203691682	75776087	1090582187	75776087
11408	1217109634	76595236	1102715825	76595236
11472	1231007299	77495327	1115330933	77495327
11536	1244576274	78323672	1127601144	78323672
11600	1258629387	79233849	1140357346	79233847
11664	1272349335	80071411	1152764080	80071409
11728	1286557950	80991649	1165661438	80991647
11792	1300428873	81838426	1178204697	81838424
11856	1314792964	82768718	1191243181	82768716
11920	1328814873	83624720	1203922976	83624718
11984	1343334480	84565094	1217102630	84565094
12048	1357507353	85430313	1229918935	85430311
12112	1372182470	86380763	1243239745	86380761
12176	1386506312	87255180	1256192573	87255178
12240	1401336925	88215711	1269654529	88215709
