N	matmul	matmulfast
tamano-640	1.85430450000000000000	1.71735300000000000000
tamano-644	2.12487000000000000000	1.79570550000000000000
tamano-648	1.99227150000000000000	1.79037600000000000000
tamano-652	1.95945150000000000000	1.86629000000000000000
tamano-656	1.93108400000000000000	1.84392150000000000000
tamano-660	2.02793000000000000000	1.87601600000000000000
tamano-664	2.03185500000000000000	1.91413650000000000000
tamano-668	2.11329500000000000000	1.95393950000000000000
tamano-672	2.08876700000000000000	1.99182450000000000000
tamano-676	2.19139500000000000000	2.01928150000000000000
tamano-680	2.19608150000000000000	2.05627700000000000000
tamano-684	2.29176550000000000000	2.09273250000000000000
tamano-688	2.24432500000000000000	2.13299650000000000000
tamano-692	2.38177100000000000000	2.16830150000000000000
tamano-696	2.38491100000000000000	2.20313800000000000000
tamano-700	2.47843200000000000000	2.24179150000000000000
tamano-704	2.47807250000000000000	2.28276050000000000000
