N	matmul	matmulfast
tamano-138	.02037100000000000000	.01873200000000000000
tamano-154	.02619550000000000000	.02472750000000000000
tamano-170	.03376900000000000000	.03334000000000000000
tamano-186	.04380350000000000000	.04345700000000000000
tamano-202	.05560900000000000000	.05578300000000000000
tamano-218	.06981050000000000000	.06921400000000000000
tamano-234	.08698500000000000000	.08557550000000000000
tamano-250	.10412150000000000000	.10394950000000000000
tamano-266	.12629550000000000000	.12509400000000000000
