N	matmul	matmulfast
tamano-128	.01632450000000000000	.01520700000000000000
tamano-144	.02092200000000000000	.02079350000000000000
tamano-160	.02776250000000000000	.02775050000000000000
tamano-176	.03716800000000000000	.03686500000000000000
tamano-192	.04754700000000000000	.04759650000000000000
tamano-208	.06005500000000000000	.06057150000000000000
tamano-224	.07582650000000000000	.07486000000000000000
tamano-240	.09212500000000000000	.09173700000000000000
tamano-256	.11229500000000000000	.11101100000000000000
