N	matmul	matmulfast
tamano-64	.00324580000000000000	.00320530000000000000
tamano-68	.00307170000000000000	.00259770000000000000
tamano-72	.00313520000000000000	.00291820000000000000
tamano-76	.00355270000000000000	.00339350000000000000
tamano-80	.00401540000000000000	.00395730000000000000
tamano-84	.00479700000000000000	.00460050000000000000
tamano-88	.00530040000000000000	.00520400000000000000
tamano-92	.00620940000000000000	.00592460000000000000
tamano-96	.00682250000000000000	.00686750000000000000
tamano-100	.00782130000000000000	.00757510000000000000
tamano-104	.00888670000000000000	.00876790000000000000
tamano-108	.01003300000000000000	.00944520000000000000
tamano-112	.01104260000000000000	.01044460000000000000
tamano-116	.01187890000000000000	.01172560000000000000
tamano-120	.01348490000000000000	.01298850000000000000
tamano-124	.01503410000000000000	.01415730000000000000
tamano-128	.01589720000000000000	.01531460000000000000
