N	matmul	matmulfast
tamano-128	.02788400000000000000	.01547900000000000000
tamano-132	.01674400000000000000	.01622000000000000000
tamano-136	.01726100000000000000	.01748800000000000000
tamano-140	.01848400000000000000	.01925700000000000000
tamano-144	.02092900000000000000	.02024600000000000000
tamano-148	.02317900000000000000	.02243800000000000000
tamano-152	.02394300000000000000	.02421100000000000000
tamano-156	.02672900000000000000	.02685900000000000000
tamano-160	.02823600000000000000	.02789100000000000000
tamano-164	.03022600000000000000	.03051200000000000000
tamano-168	.03372600000000000000	.03267700000000000000
tamano-172	.03479800000000000000	.03447300000000000000
tamano-176	.03803100000000000000	.03709200000000000000
tamano-180	.04043800000000000000	.03983600000000000000
tamano-184	.04383000000000000000	.04256500000000000000
tamano-188	.04628000000000000000	.04521600000000000000
tamano-192	.04935800000000000000	.04803500000000000000
