N	matmul	matmulfast
tamano-2560	365.41147100000000000000	109.68837900000000000000
tamano-2576	137.00244800000000000000	111.19928300000000000000
tamano-2592	155.07758050000000000000	113.53053050000000000000
tamano-2608	143.58923050000000000000	115.61025650000000000000
tamano-2624	175.24272950000000000000	117.65088050000000000000
tamano-2640	149.78243050000000000000	120.12993500000000000000
tamano-2656	166.07522050000000000000	121.62317050000000000000
tamano-2672	155.24644300000000000000	124.21304400000000000000
tamano-2688	261.33786450000000000000	126.45425700000000000000
tamano-2704	161.47674950000000000000	128.47708400000000000000
tamano-2720	180.78736250000000000000	131.40924550000000000000
tamano-2736	167.84773800000000000000	133.32518850000000000000
tamano-2752	205.56350550000000000000	136.09258350000000000000
tamano-2768	174.30602250000000000000	137.86626050000000000000
tamano-2784	192.32122450000000000000	140.31485200000000000000
tamano-2800	180.83627350000000000000	143.16483850000000000000
tamano-2816	460.61876750000000000000	145.36490050000000000000
