N	matmul	matmulfast
tamano-228	.13333450000000000000	.08304950000000000000
tamano-244	.10954450000000000000	.09797450000000000000
tamano-260	.11802750000000000000	.11642900000000000000
tamano-276	.14510100000000000000	.13941100000000000000
tamano-292	.16675200000000000000	.16658700000000000000
tamano-308	.20243350000000000000	.19321700000000000000
tamano-324	.22562550000000000000	.22487100000000000000
tamano-340	.26017900000000000000	.25805350000000000000
tamano-356	.30141050000000000000	.29579450000000000000
