N	slow	fast
19216	8.23182675000000000000	1.10350275000000000000
19280	8.41498875000000000000	1.11655725000000000000
19344	8.41207125000000000000	1.12691725000000000000
19408	8.45382025000000000000	1.12566925000000000000
19472	8.50015425000000000000	1.13606975000000000000
19536	8.59258600000000000000	1.14317800000000000000
19600	8.77647275000000000000	1.15258000000000000000
19664	8.71354525000000000000	1.16030075000000000000
19728	8.76757675000000000000	1.17568525000000000000
19792	8.81989300000000000000	1.17303075000000000000
19856	8.89788650000000000000	1.17685675000000000000
19920	8.97779400000000000000	1.18602475000000000000
19984	9.01276850000000000000	1.19386325000000000000
20048	9.09371400000000000000	1.19987575000000000000
20112	9.34020825000000000000	1.21078450000000000000
20176	9.23587025000000000000	1.21971150000000000000
20240	9.37025275000000000000	1.22617150000000000000
