N	D1mr_slow	D1mw_slow	D1mr_fast	D1mw_fast
11216	200772740	36922313	78865845	36922313
11280	203068225	37333579	79764960	37333579
11344	205298499	37747880	80590590	37747880
11408	207629107	38163139	81509080	38163139
11472	210064743	38581057	82524671	38581057
11536	212241171	39002636	83272921	39002636
11600	214740082	39516176	84345845	39516176
11664	217169994	39940857	85331565	39940857
11728	219522590	40369560	86232204	40369560
11792	221922596	40799543	87172281	40799543
11856	224253683	41232602	88035150	41232602
11920	226689058	41666377	88994855	41666377
11984	229233908	42103200	90056109	42103200
12048	231507367	42543530	90837831	42543530
12112	234116891	43079811	91958256	43079811
12176	236653786	43523175	92987393	43523175
12240	239109406	43970640	93927497	43970640
