N	tiempo_mat	D1mr_mat	D1mw_mat	tiempo_mat	D1mr_mat_t	D1mw_mat_t
138	 333771	7885	 338670	10289
154	 462418	9643	 468491	12633
170	 620691	11593	 628080	15233
186	 811661	13735	 820485	18089
202	 1038407	16068	 1048793	21200
218	 1304364	18594	 1316088	24568
234	 1611759	21312	 1625423	28192
250	 1964431	24222	 1979881	32072
266	 2370642	27752	 2382532	36208
